X,Y,OBJECTID,Date,Shift,Blocked_Location_of_Incident,Beat,City_1,Type_of_Resistance,Response,Force_Caused_Injury,Off_Injured,Call_Dispatched_via_911,Call_was_Self_Initiated,Call_in_Response_To
-86.28691474,41.72086782,592,2019/07/01 04:00:00+00,3rd,2600 E Trader Ct,22,South Bend,Physical,Taser,Yes,Yes,Yes,No,Unwanted Person
-86.19901393,41.66119182,593,2019/07/07 04:00:00+00,1st,3500 E Northside Blvd,12,South Bend,Physical,Physical,No,Yes,Yes,No,Armed Disturbance
-86.29734218,41.67551631,594,2019/07/21 04:00:00+00,2nd,3500 W Washington St,28,South Bend,Physical,Taser,No,No,No,Yes,Shots Fired
-86.20257116,41.66408946,595,2019/07/24 04:00:00+00,1st,1000 S 32nd St,12,South Bend,Physical,Physical,No,No,Yes,No,Disturbance
-86.2628446,41.66497696,596,2019/07/26 04:00:00+00,3rd,1000 W Sample St,25,South Bend,Physical,Physical,No,No,No,Yes,Theft
-86.26246786,41.67629578,597,2019/07/31 04:00:00+00,2nd,100 N Laporte Ave,23,South Bend,Physical,Taser,No,Yes,Yes,No,Motor Vehicle Theft
-86.25185413,41.67364412,598,2019/08/05 04:00:00+00,2nd,300 S Main St,21,South Bend,Physical,Taser,No,No,Yes,No,Armed Disturbance
-86.27321881,41.65356106,599,2019/08/12 04:00:00+00,3rd,1900 Prairie Ave,25,South Bend,Physical,Taser,No,No,No,Yes,Hit and Run
-86.19652136,41.68032089,600,2019/08/17 04:00:00+00,2nd,400 N Hickory Rd,11,South Bend,Physical,Physical,Yes,Yes,Yes,No,Unwanted Person
-86.23780691,41.64998628,601,2019/08/20 04:00:00+00,1st,900 E Altgeld St,14,South Bend,Physical,Taser,No,No,No,Yes,Shots Fired
-86.31348457,41.67408211,602,2019/08/21 04:00:00+00,1st,4700 W Washington St,28,South Bend,Physical,OC,No,No,Yes,No,Unwanted Person
-86.24990626,41.65558013,603,2019/09/03 04:00:00+00,2nd,100 E Dayton St,14,South Bend,Physical,Taser,No,No,Yes,No,Warrant
-86.27178751,41.68192847,604,2019/09/14 04:00:00+00,3rd,500 N Studebaker St,23,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop
-86.28335789,41.67697391,1005,2019/10/10 04:00:00+00,3rd,100 N Olive St,23,South Bend,Physical,Taser,Yes,No,Yes,No,Domestic
-86.20678132,41.70186791,1006,2019/10/12 04:00:00+00,2nd,1800 E Hepler St,11,-1,Physical,Physical,No,No,Yes,No,Accident
-86.20927,41.63407265,1007,2019/10/15 04:00:00+00,2nd,4200 Irish Hills Dr,15,South Bend,Physical,Taser,No,No,Yes,No,Warrant
-86.28260966,41.69376881,1008,2019/10/15 04:00:00+00,2nd,2300 W Elwood Ave,19,-1,Physical,Physical,No,No,Yes,No,Unwanted
-86.21641175,41.69638073,1009,2019/11/14 05:00:00+00,3rd,1500 N Ironwood Dr,11,-1,Physical,Taser,Yes,No,No,Yes,Unwanted
-86.28237092,41.68539944,1010,2019/11/29 05:00:00+00,1st,800 N Elmer St,23,-1,Physical,Taser,Yes,Yes,Yes,No,Unwanted
-86.21827111,41.65480139,1011,2019/12/03 05:00:00+00,3rd,1900 E Calvert St,25,-1,Physical,Physical,Yes,No,Yes,No,Shooting
-86.28245603,41.69079701,1012,2019/12/25 05:00:00+00,2nd,1200 N Elmer St,19,-1,Physical,Taser,Yes,No,Yes,No,Unwanted
-86.29730518,41.67400276,1013,2019/12/27 05:00:00+00,2nd,3500 W Jefferson Blvd,28,-1,Physical,Taser,No,No,Yes,No,Vehicle Pursuit
-86.25178966,41.67090839,1014,2020/01/08 05:00:00+00,1st,500 S Main St,,,Physical,Taser,No,No,Yes,No,Unwanted
-86.26369931,41.6861187,1015,2020/01/23 05:00:00+00,2nd,800 N Harrison  St,,,Physical,Taser,No,No,Yes,No,Warrant
-86.2757947,41.67941805,1016,2020/02/01 05:00:00+00,3rd,1700 W Linden Ave,,,Physical,Physical,No,No,No,Yes,Vehicle Pursuit
-86.26757335,41.69251572,1017,2020/02/17 05:00:00+00,2nd,1000 N Portage Ave,,,Physical,Pepper Spray,Yes,Yes,Yes,No,Suspicius Person
-86.32203561,41.68043827,1018,2020/02/23 05:00:00+00,2nd,5300 W Colfax Ave,,,Physical,Taser,Yes,No,Yes,No,Animal
-86.27514865,41.68927307,1019,2020/02/24 05:00:00+00,3rd,1100 N Adams St,,,Physical,Physical,Yes,Yes,Yes,No,Unwanted Person
-86.2498041,41.65578227,1020,2020/02/28 05:00:00+00,2nd,100 E Dayton St,,,Physical,Physical,No,No,Yes,No,Warrant
-86.24985047,41.65679459,1021,2020/02/29 05:00:00+00,2nd,1700 S Michigan St,,,Physical,Taser,Yes,Yes,Yes,No,Fight
-86.23545625,41.69279097,1022,2020/03/07 05:00:00+00,3rd,1300 N Eddy St,,,Physical,Physical,No,No,Yes,No,Traffic Accident
